SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-10-25 20:30:00,1384.45,,1304.99
2018-10-25 21:00:00,1365.35,,1276.11
2018-10-25 21:30:00,1322.7,,1242.86
2018-10-25 22:00:00,1287.01,,1197.81
2018-10-25 22:30:00,1242.6,,1168.92
2018-10-25 23:00:00,1202.93,,1161.37
2018-10-25 23:30:00,1187.02,,1196.12
2018-10-26 00:00:00,1350.19,,1375.36
2018-10-26 00:30:00,1287.18,,1310.05
2018-10-26 01:00:00,1256.67,,1274.08
2018-10-26 01:30:00,1206.17,,1212.16
2018-10-26 02:00:00,1185.75,,1166.56
2018-10-26 02:30:00,1138.2,,1157.17
2018-10-26 03:00:00,1095.7,,1139.69
2018-10-26 03:30:00,1055.97,,1122.22
2018-10-26 04:00:00,1041.63,,1127.85
2018-10-26 04:30:00,1070.78,,1152.95
2018-10-26 05:00:00,1091.52,,1184.18
2018-10-26 05:30:00,1106.76,,1220.33
2018-10-26 06:00:00,1183.71,,1298.44
2018-10-26 06:30:00,1271.88,,1335.36
2018-10-26 07:00:00,1303.21,,1370.45
2018-10-26 07:30:00,1283.96,,1364.21
2018-10-26 08:00:00,1173.87,,1243.4
2018-10-26 08:30:00,1075.37,,1176.77
2018-10-26 09:00:00,964.27,,1098.99
2018-10-26 09:30:00,927.37,,1037.84
2018-10-26 10:00:00,867.38,,997.76
2018-10-26 10:30:00,822.26,,957.57
2018-10-26 11:00:00,812.79,,936.12
2018-10-26 11:30:00,777.04,,913.77
2018-10-26 12:00:00,795.59,,908.95
2018-10-26 12:30:00,799.9,,895.48
2018-10-26 13:00:00,817.44,,908.32
2018-10-26 13:30:00,820.57,,911.75
2018-10-26 14:00:00,831.04,,929.98
2018-10-26 14:30:00,842.17,,920.89
2018-10-26 15:00:00,879.85,,949.4
2018-10-26 15:30:00,920.96,,995.67
2018-10-26 16:00:00,990.14,,1039.11
2018-10-26 16:30:00,1053.9,,1109.92
2018-10-26 17:00:00,1121.72,,1157.34
2018-10-26 17:30:00,1216.15,,1206.83
2018-10-26 18:00:00,1289.86,,1275.68
2018-10-26 18:30:00,1351.91,,1332.6
2018-10-26 19:00:00,1389.18,,1367.7
2018-10-26 19:30:00,1419.79,,1381.38
2018-10-26 20:00:00,1435.7,,1409.96
2018-10-26 20:30:00,1380.61,,1372.61
2018-10-26 21:00:00,1345.28,,1330.44
2018-10-26 21:30:00,1321.49,,1288.06
2018-10-26 22:00:00,1294.68,,1257.03
2018-10-26 22:30:00,1266.01,,1233.82
2018-10-26 23:00:00,1244.74,,1203.73
2018-10-26 23:30:00,1220.49,,1214.39
2018-10-27 00:00:00,1374.24,,1345.87
2018-10-27 00:30:00,1292.66,,1273.14
2018-10-27 01:00:00,1259.46,,1241.23
2018-10-27 01:30:00,1179.64,,1196.24
2018-10-27 02:00:00,1123.29,,1182.69
2018-10-27 02:30:00,1097.71,,1146.55
2018-10-27 03:00:00,1078.15,,1113.56
2018-10-27 03:30:00,1040.97,,1081.52
2018-10-27 04:00:00,1002.16,,1068.85
2018-10-27 04:30:00,1028.97,,1097.5
2018-10-27 05:00:00,1011.23,,1132.15
2018-10-27 05:30:00,1029.17,,1151.11
2018-10-27 06:00:00,1072.58,,1201.43
2018-10-27 06:30:00,1069.36,,1281.07
2018-10-27 07:00:00,1099.6,,1305.27
2018-10-27 07:30:00,1137.91,,1269.35
2018-10-27 08:00:00,1076.32,,1182.81
2018-10-27 08:30:00,1001.28,,1104.8
2018-10-27 09:00:00,971.0,,1022.2
2018-10-27 09:30:00,976.02,,998.07
2018-10-27 10:00:00,870.06,,955.89
2018-10-27 10:30:00,882.23,,936.0
2018-10-27 11:00:00,811.49,,920.1
2018-10-27 11:30:00,755.09,,905.86
2018-10-27 12:00:00,715.48,,921.58
2018-10-27 12:30:00,715.77,,920.76
2018-10-27 13:00:00,748.14,,935.52
2018-10-27 13:30:00,740.66,,930.91
2018-10-27 14:00:00,752.21,,934.94
2018-10-27 14:30:00,770.85,,939.9
2018-10-27 15:00:00,819.32,,971.11
2018-10-27 15:30:00,859.54,,1000.87
2018-10-27 16:00:00,945.14,,1054.53
2018-10-27 16:30:00,1025.16,,1098.93
