SETTLEMENTDATE,RRP,TOTALDEMAND
10/11/2018 23:30,58.87,1179.1
10/12/2018 0:00,70.74,1356.25
10/12/2018 0:30,59.35,1284.12
10/12/2018 1:00,53.21,1237.33
10/12/2018 1:30,52.11,1162.06
10/12/2018 2:00,53.24,1099.27
10/12/2018 2:30,48.26,1063.37
10/12/2018 3:00,46.46,1039.24
10/12/2018 3:30,48.97,1036.67
10/12/2018 4:00,51.6,1019.32
10/12/2018 4:30,53.86,1029.05
10/12/2018 5:00,57.55,1050.64
10/12/2018 5:30,72.26,1090.44
10/12/2018 6:00,103.08,1183.98
10/12/2018 6:30,89.14,1235.21
10/12/2018 7:00,99.47,1325.16
10/12/2018 7:30,84.31,1317.81
10/12/2018 8:00,73.23,1266.4
10/12/2018 8:30,72.05,1210.67
10/12/2018 9:00,74.72,1157.74
10/12/2018 9:30,69.8,1097.07
10/12/2018 10:00,78.03,1061.59
10/12/2018 10:30,110.25,1057.4
10/12/2018 11:00,96.08,963.77
10/12/2018 11:30,87.16,911.73
10/12/2018 12:00,98.23,911.93
10/12/2018 12:30,88.33,946.15
10/12/2018 13:00,103.67,1008.93
10/12/2018 13:30,117.74,1042.6
10/12/2018 14:00,136.82,1082.61
10/12/2018 14:30,112.91,1086.38
10/12/2018 15:00,111.3,1088
10/12/2018 15:30,105.36,1094.33
10/12/2018 16:00,111.76,1116.06
10/12/2018 16:30,124.27,1166.83
10/12/2018 17:00,107.76,1189.67
10/12/2018 17:30,109.58,1205.43
10/12/2018 18:00,91.99,1221.72
10/12/2018 18:30,109.1,1261.87
10/12/2018 19:00,114.5,1284.05
10/12/2018 19:30,114.66,1299.33
10/12/2018 20:00,103.33,1300.2
10/12/2018 20:30,80.47,1280.53
10/12/2018 21:00,75.12,1245.54
10/12/2018 21:30,92.81,1216.26
10/12/2018 22:00,78.06,1165.68
10/12/2018 22:30,115.24,1141.27
10/12/2018 23:00,116.38,1114.43
10/12/2018 23:30,93.55,1103.62
10/13/2018 0:00,102.09,1251.74
10/13/2018 0:30,80.29,1170.53
10/13/2018 1:00,71.05,1124.45
10/13/2018 1:30,65.22,1064.89
10/13/2018 2:00,66.59,1017.78
10/13/2018 2:30,61.3,1018.21
10/13/2018 3:00,54.17,988.74
10/13/2018 3:30,57.76,971.45
10/13/2018 4:00,55.34,937.64
10/13/2018 4:30,54.17,947.81
10/13/2018 5:00,54.7,947.71
10/13/2018 5:30,64.3,952.91
10/13/2018 6:00,62.51,1000.19
10/13/2018 6:30,90.38,1005.82
10/13/2018 7:00,80.51,1035.58
10/13/2018 7:30,80.81,1026.71
10/13/2018 8:00,79.25,959.78
10/13/2018 8:30,127.1,924.66
10/13/2018 9:00,69.36,871.38
10/13/2018 9:30,64.85,798.05
10/13/2018 10:00,57.99,759.68
10/13/2018 10:30,65.85,715.39
10/13/2018 11:00,69.55,693.41
10/13/2018 11:30,69.54,713.35
10/13/2018 12:00,80.29,703.67
10/13/2018 12:30,71.75,720.51
10/13/2018 13:00,70.34,746.58
10/13/2018 13:30,77,816.91
10/13/2018 14:00,74,849.4
10/13/2018 14:30,69.71,827.64
10/13/2018 15:00,71.78,807.45
10/13/2018 15:30,73.87,873.24
10/13/2018 16:00,91.66,936.66
10/13/2018 16:30,85.39,996.5
10/13/2018 17:00,71.42,1079.35
10/13/2018 17:30,92.8,1134.95
10/13/2018 18:00,95.42,1167.85
10/13/2018 18:30,82.3,1162.86
10/13/2018 19:00,131.83,1181.63
10/13/2018 19:30,79.07,1210.97
10/13/2018 20:00,60.98,1206.46
10/13/2018 20:30,60.53,1173.99
10/13/2018 21:00,93.92,1160.53
10/13/2018 21:30,79.94,1124.77
10/13/2018 22:00,63.31,1058.37
10/13/2018 22:30,95.68,1025.71
10/13/2018 23:00,68.83,980.28
10/13/2018 23:30,68.33,977.22
10/14/2018 0:00,71.34,1148.12
10/14/2018 0:30,57.76,1096.62
10/14/2018 1:00,55.03,1047.86
10/14/2018 1:30,50.88,968.49
10/14/2018 2:00,42.69,933.32
10/14/2018 2:30,37.18,877.97
10/14/2018 3:00,39.24,868.77
10/14/2018 3:30,42.72,862.73
10/14/2018 4:00,32.62,852.24
10/14/2018 4:30,43.15,859.13
10/14/2018 5:00,39.35,869.44
10/14/2018 5:30,25.55,844.92
10/14/2018 6:00,40.66,869.29
10/14/2018 6:30,45.42,851.05
10/14/2018 7:00,46.19,878.54
10/14/2018 7:30,48.43,890.62
10/14/2018 8:00,53.03,883.5
10/14/2018 8:30,50.32,877.23
10/14/2018 9:00,44.44,855.37
10/14/2018 9:30,17.52,778.31
10/14/2018 10:00,14.37,795.89
10/14/2018 10:30,15.33,716.9
10/14/2018 11:00,35.19,726.97
10/14/2018 11:30,39.58,805.77
10/14/2018 12:00,43.42,846.93
10/14/2018 12:30,51.2,1033.09
10/14/2018 13:00,51.58,1133.69
10/14/2018 13:30,50.4,1137.43
